,Time,best_x_avg,best_y_avg,target_x,target_y,error_x,error_y,error
618,61.8,4.6,-4.8,6.28,-4.61,-1.6800000000000006,-0.1899999999999995,1.6907099100673664
619,61.9,4.6,-4.8,5.96,-4.72,-1.3600000000000003,-0.08000000000000007,1.3623509092741124
620,62.0,4.68,-4.82,5.82,-4.42,-1.1400000000000006,-0.40000000000000036,1.2081390648431172
621,62.1,4.6,-4.8,6.13,-4.32,-1.5300000000000002,-0.47999999999999954,1.6035273617871322
622,62.2,4.6,-4.8,6.44,-4.18,-1.8400000000000007,-0.6200000000000001,1.9416487838947607
623,62.3,4.6,-4.8,6.2,-4.42,-1.6000000000000005,-0.3799999999999999,1.6445060048537379
624,62.4,4.6,-4.8,6.46,-4.62,-1.8600000000000003,-0.17999999999999972,1.8686893802876927
625,62.5,4.6,-4.8,6.67,-4.36,-2.0700000000000003,-0.4399999999999995,2.116246677492962
626,62.6,4.6,-4.8,6.95,-4.19,-2.3500000000000005,-0.6099999999999994,2.427879733429974
627,62.7,4.6,-4.8,7.16,-4.45,-2.5600000000000005,-0.34999999999999964,2.5838150088580263
628,62.8,4.6,-4.8,7.02,-4.74,-2.42,-0.05999999999999961,2.420743687382041
629,62.9,4.6,-4.8,6.92,-4.42,-2.3200000000000003,-0.3799999999999999,2.350914715594762
630,63.0,4.8,-4.819999999999999,6.63,-4.27,-1.83,-0.5499999999999998,1.910863679072895
631,63.1,4.6,-4.8,6.82,-4.54,-2.2200000000000006,-0.2599999999999998,2.2351733713517623
632,63.2,4.6,-4.8,6.87,-4.87,-2.2700000000000005,0.07000000000000028,2.2710790386950435
633,63.3,4.6,-4.8,7.14,-4.68,-2.54,-0.1200000000000001,2.5428330656966063
634,63.4,4.6,-4.8,6.83,-4.81,-2.2300000000000004,0.009999999999999787,2.2300224214119466
635,63.5,4.6,-4.8,6.95,-4.5,-2.3500000000000005,-0.2999999999999998,2.3690715480964273
636,63.6,4.6,-4.8,7.27,-4.4,-2.67,-0.39999999999999947,2.69979628861142
637,63.7,4.6,-4.8,7.6,-4.43,-3.0,-0.3700000000000001,3.022730553655089
638,63.8,4.6,-4.8,7.5,-4.11,-2.9000000000000004,-0.6899999999999995,2.980956222422597
639,63.9,4.6,-4.8,7.66,-3.83,-3.0600000000000005,-0.9699999999999998,3.2100623046912973
640,64.0,4.7,-4.86,7.4,-3.63,-2.7,-1.2300000000000004,2.966968149475151
641,64.1,4.6,-4.8,7.73,-3.59,-3.130000000000001,-1.21,3.3557413487931402
642,64.2,4.6,-4.8,8.06,-3.59,-3.460000000000001,-1.21,3.6654740484690387
643,64.3,4.6,-4.8,8.22,-3.3,-3.620000000000001,-1.5,3.9184690888151725
644,64.4,4.6,-4.8,8.41,-3.02,-3.8100000000000005,-1.7799999999999998,4.205294282211413
645,64.5,4.6,-4.8,8.59,-3.3,-3.99,-1.5,4.262640027025506
646,64.6,4.6,-4.8,8.54,-2.97,-3.9399999999999995,-1.8299999999999996,4.344249072049161
647,64.7,4.6,-4.8,8.31,-2.74,-3.710000000000001,-2.0599999999999996,4.243548043795428
648,64.8,4.6,-4.8,8.64,-2.79,-4.040000000000001,-2.01,4.5123940430773555
649,64.9,4.6,-4.8,8.76,-3.1,-4.16,-1.6999999999999997,4.493951490614913
650,65.0,4.8,-4.779999999999999,9.08,-3.0,-4.28,-1.7799999999999994,4.63538563660026
651,65.1,5.26,-4.720000000000001,9.21,-3.3,-3.950000000000001,-1.4200000000000008,4.197487343637859
652,65.2,5.2,-4.7,9.0,-3.56,-3.8,-1.1400000000000001,3.967316473386009
653,65.3,5.32,-4.56,8.75,-3.34,-3.4299999999999997,-1.2199999999999998,3.640508206281095
654,65.4,5.5200000000000005,-4.74,8.85,-3.02,-3.329999999999999,-1.7200000000000002,3.747972785386788
655,65.5,5.5,-4.7,8.72,-3.33,-3.2200000000000006,-1.37,3.499328507013882
656,65.6,5.6,-4.3,8.99,-3.14,-3.3900000000000006,-1.1599999999999997,3.5829736253564586
657,65.7,5.6,-4.3,9.11,-3.45,-3.51,-0.8499999999999996,3.6114540008146303
658,65.8,5.6,-4.3,8.87,-3.21,-3.2699999999999996,-1.0899999999999999,3.446882649583533
659,65.9,5.9,-4.2,8.91,-3.54,-3.01,-0.6600000000000001,3.0815093704222285
660,66.0,5.74,-4.36,9.01,-3.86,-3.2699999999999996,-0.5000000000000004,3.308005441349817
661,66.1,6.0200000000000005,-4.08,9.3,-4.03,-3.2800000000000002,-0.04999999999999982,3.2803810754240126
662,66.2,6.0200000000000005,-4.08,9.33,-3.7,-3.3099999999999996,-0.3799999999999999,3.3317412864746863
663,66.3,6.0200000000000005,-4.06,9.56,-3.46,-3.54,-0.5999999999999996,3.5904874320905233
664,66.4,6.0200000000000005,-4.06,9.81,-3.24,-3.79,-0.8199999999999994,3.8776926128820475
