Time,ID,behv,com_radius,Battery,Battery Percent,x,y,Measurement,u,v,speed,best_x,best_y,best_measure,best_id
0.6,17,isocontour,6,47518.64,100.0,-15.5,18.5,-310.2,-0.0,-0.4,0.4,-13.2,9.8,-110.1,15
0.6,18,isocontour,6,47518.42,100.0,0.4,-16.3,-703.8,-0.2,0.3,0.4,2.4,1.5,-7.7,7
0.6,19,isocontour,6,47516.9,99.99,-14.4,-10.8,-172.5,0.7,-0.2,0.7,-14.4,-10.8,-159.8,19
0.6,20,isocontour,6,47517.73,100.0,8.9,-5.2,-849.1,-0.8,-0.1,0.8,2.4,1.5,-7.7,7
0.6,21,isocontour,6,47517.12,99.99,6.5,-6.8,-741.8,-0.3,0.3,0.4,2.4,1.5,-7.7,7
0.6,Target,,,,,-19.49,1.33,-0.018,0.79,-1.07,,,,,
0.7,1,seeker,5,47514.07,99.99,13.0,12.6,-1171.471,-0.3,-0.9,0.9,12.6,11.6,-293.3,4
0.7,2,explorer,10,47519.64,100.0,-9.2,17.7,-369.0,0.3,-0.0,0.3,-13.2,9.8,-110.1,15
0.7,3,explorer,10,47515.38,99.99,11.4,-3.6,-969.2,-0.3,-0.1,0.3,2.4,1.5,-7.7,7
0.7,4,explorer,10,47514.29,99.99,12.4,11.1,-1103.6,0.0,-0.8,0.8,12.6,11.6,-293.3,4
0.7,5,explorer,10,47519.72,100.0,-6.1,19.4,-500.9,0.3,0.1,0.3,-13.2,9.8,-110.1,15
0.7,6,explorer,10,47514.92,99.99,3.1,-1.0,-512.1,-0.1,-0.5,0.5,2.4,1.5,-7.7,7
0.7,7,explorer,10,47515.84,99.99,2.0,1.6,-457.1,-0.1,0.4,0.4,2.0,1.6,-7.7,7
0.7,8,explorer,10,47519.27,100.0,14.1,15.7,-1327.5,-0.3,0.0,0.3,12.6,11.6,-293.3,4
0.7,9,explorer,10,47519.67,100.0,-7.5,-15.3,-417.5,0.3,0.0,0.3,-7.5,-15.3,-291.0,9
0.7,10,explorer,10,47519.65,100.0,-0.2,-8.2,-458.8,0.0,0.4,0.4,2.4,1.5,-7.7,7
0.7,11,explorer,10,47519.66,100.0,16.7,13.6,-1445.7,-0.3,-0.1,0.3,12.6,11.6,-293.3,4
0.7,12,explorer,10,47519.68,100.0,2.0,-10.7,-602.7,0.3,-0.1,0.3,2.4,1.5,-7.7,7
0.7,13,explorer,10,47516.55,99.99,3.1,4.5,-512.7,-0.0,0.3,0.3,2.4,1.5,-7.7,7
0.7,14,explorer,10,47519.66,100.0,19.8,19.9,-1878.4,0.3,0.1,0.3,12.6,11.6,-293.3,4
0.7,15,explorer,10,47519.67,100.0,-13.2,9.8,-109.1,-0.2,0.2,0.3,-13.2,9.8,-110.1,15
0.7,16,explorer,10,47519.64,100.0,18.3,3.9,-1421.5,-0.3,0.2,0.4,12.6,11.6,-293.3,4
0.7,17,isocontour,6,47518.25,100.0,-15.5,18.4,-305.2,-0.1,-0.7,0.7,-13.2,9.8,-110.1,15
0.7,18,isocontour,6,47518.13,100.0,0.4,-16.2,-698.1,-0.1,0.6,0.6,2.4,1.5,-7.7,7
0.7,19,isocontour,6,47516.4,99.99,-14.4,-10.8,-173.6,0.7,-0.2,0.7,-14.4,-10.8,-159.8,19
0.7,20,isocontour,6,47516.97,99.99,8.8,-5.2,-838.0,-0.8,0.2,0.8,2.4,1.5,-7.7,7
0.7,21,isocontour,6,47517.04,99.99,6.5,-6.8,-734.4,-0.3,0.2,0.4,2.4,1.5,-7.7,7
0.7,Target,,,,,-19.36,1.38,-0.018,1.23,0.5,,,,,
0.8,1,seeker,5,47513.13,99.99,13.0,12.5,-1177.254,-0.2,-0.9,0.9,12.6,11.6,-293.3,4
0.8,2,explorer,10,47519.58,100.0,-9.2,17.7,-371.8,-0.2,-0.3,0.4,-13.2,9.8,-109.1,15
0.8,3,explorer,10,47515.33,99.99,11.4,-3.5,-977.1,0.2,0.3,0.4,2.4,1.5,-7.7,7
0.8,4,explorer,10,47513.16,99.99,12.4,11.0,-1108.0,-0.4,-0.8,0.9,12.6,11.6,-293.3,4
0.8,5,explorer,10,47519.67,100.0,-6.1,19.4,-505.5,0.2,-0.3,0.4,-13.2,9.8,-110.1,15
0.8,6,explorer,10,47513.86,99.99,3.2,-1.1,-519.8,0.4,-0.8,0.9,2.4,1.5,-7.7,7
0.8,7,explorer,10,47515.58,99.99,2.0,1.6,-460.4,-0.5,0.3,0.6,2.0,1.6,-7.7,7
0.8,8,explorer,10,47519.21,100.0,14.1,15.7,-1334.7,-0.3,-0.2,0.4,12.6,11.6,-293.3,4
0.8,9,explorer,10,47519.62,100.0,-7.6,-15.3,-418.2,-0.3,-0.1,0.3,-7.6,-15.3,-291.0,9
0.8,10,explorer,10,47519.6,100.0,-0.2,-8.2,-463.9,0.3,-0.0,0.3,2.4,1.5,-7.7,7
0.8,11,explorer,10,47519.6,100.0,16.6,13.5,-1453.5,-0.2,-0.3,0.4,12.6,11.6,-293.3,4
0.8,12,explorer,10,47519.62,100.0,2.0,-10.7,-606.7,0.1,0.3,0.3,2.4,1.5,-7.7,7
0.8,13,explorer,10,47516.51,99.99,3.1,4.5,-518.3,-0.1,0.3,0.3,2.4,1.5,-7.7,7
0.8,14,explorer,10,47519.6,100.0,19.8,19.9,-1887.5,-0.2,-0.3,0.4,12.6,11.6,-293.3,4
0.8,15,explorer,10,47519.61,100.0,-13.2,9.8,-110.8,-0.2,-0.3,0.4,-13.2,9.8,-109.1,15
0.8,16,explorer,10,47519.6,100.0,18.3,3.8,-1431.6,0.1,-0.3,0.3,12.6,11.6,-293.3,4
0.8,17,isocontour,6,47518.07,100.0,-15.5,18.4,-306.2,-0.1,-0.5,0.5,-13.2,9.8,-109.1,15
0.8,18,isocontour,6,47517.77,100.0,0.3,-16.1,-698.4,-0.1,0.6,0.6,2.4,1.5,-7.7,7
0.8,19,isocontour,6,47515.61,99.99,-14.3,-10.9,-175.6,0.7,-0.5,0.9,-14.3,-10.9,-159.8,19
0.8,20,isocontour,6,47516.4,99.99,8.8,-5.2,-840.3,-0.7,-0.1,0.7,2.4,1.5,-7.7,7
0.8,21,isocontour,6,47516.6,99.99,6.4,-6.8,-736.2,-0.7,0.1,0.7,2.4,1.5,-7.7,7
0.8,Target,,,,,-19.49,1.33,-0.018,-1.23,-0.5,,,,,
0.9,1,seeker,5,47512.0,99.98,12.9,12.4,-1176.495,-0.4,-0.9,1.0,12.6,11.6,-293.3,4
0.9,2,explorer,10,47519.52,100.0,-9.2,17.6,-370.0,0.2,-0.3,0.4,-13.2,9.8,-109.1,15
0.9,3,explorer,10,47515.28,99.99,11.4,-3.5,-982.7,-0.1,0.3,0.3,2.4,1.5,-7.7,7
0.9,4,explorer,10,47512.61,99.98,12.3,10.9,-1107.2,-0.6,-0.5,0.8,12.6,11.6,-293.3,4
0.9,5,explorer,10,47519.62,100.0,-6.1,19.4,-504.3,-0.3,0.2,0.4,-13.2,9.8,-109.1,15
0.9,6,explorer,10,47513.56,99.99,3.2,-1.1,-526.7,0.5,-0.3,0.6,2.4,1.5,-7.7,7
0.9,7,explorer,10,47514.37,99.99,1.9,1.7,-462.2,-0.5,0.8,0.9,1.9,1.7,-7.7,7
0.9,8,explorer,10,47519.16,100.0,14.1,15.7,-1338.0,0.2,-0.3,0.4,12.6,11.6,-293.3,4
0.9,9,explorer,10,47519.57,100.0,-7.6,-15.3,-423.4,-0.3,-0.1,0.3,-7.6,-15.3,-291.0,9
0.9,10,explorer,10,47519.55,100.0,-0.2,-8.2,-468.1,-0.3,-0.1,0.3,2.4,1.5,-7.7,7
0.9,11,explorer,10,47519.54,100.0,16.6,13.5,-1456.4,-0.0,-0.3,0.3,12.6,11.6,-293.3,4
0.9,12,explorer,10,47519.59,100.0,2.0,-10.7,-614.1,0.1,-0.3,0.3,2.4,1.5,-7.7,7
