Time,ID,z,Measurement,x,y,Ni,Linear Coverage,Abs(zi/z_goal),Ln(Abs(zi/z_goal))
3.3,24,,0.0,19.0,18.3,0.0,12.0,0.0,-inf
3.3,25,,0.014,-18.8,-9.4,0.0,12.0,0.028,-1.553
3.4,16,,0.0,-14.0,2.3,0.0,12.0,0.0,-inf
3.4,17,,0.07,3.0,9.0,0.0,12.0,0.14,-0.854
3.4,18,,0.0,6.9,-15.2,1.0,6.0,0.0,-inf
3.4,19,,0.0,3.4,-14.8,1.0,6.0,0.0,-inf
3.4,20,,0.993,-10.3,-9.7,2.0,4.0,1.986,0.298
3.4,21,,0.445,-11.2,-6.4,1.0,6.0,0.89,-0.051
3.4,22,,0.0,17.9,-5.2,0.0,12.0,0.0,-inf
3.4,23,,0.459,-11.2,-13.5,1.0,6.0,0.918,-0.037
3.4,24,,0.0,19.0,18.3,0.0,12.0,0.0,-inf
3.4,25,,0.014,-18.8,-9.4,0.0,12.0,0.028,-1.553
3.5,16,,0.0,-14.1,2.4,0.0,12.0,0.0,-inf
3.5,17,,0.071,3.0,9.0,0.0,12.0,0.142,-0.848
3.5,18,,0.0,6.9,-15.2,1.0,6.0,0.0,-inf
3.5,19,,0.0,3.4,-14.8,1.0,6.0,0.0,-inf
3.5,20,,0.991,-10.3,-9.7,2.0,4.0,1.982,0.297
3.5,21,,0.457,-11.2,-6.5,1.0,6.0,0.914,-0.039
3.5,22,,0.0,17.9,-5.2,0.0,12.0,0.0,-inf
3.5,23,,0.455,-11.2,-13.6,1.0,6.0,0.91,-0.041
3.5,24,,0.0,19.0,18.4,0.0,12.0,0.0,-inf
3.5,25,,0.014,-18.8,-9.5,0.0,12.0,0.028,-1.553
3.6,16,,0.0,-14.1,2.4,0.0,12.0,0.0,-inf
3.6,17,,0.072,3.1,9.0,0.0,12.0,0.144,-0.842
3.6,18,,0.0,6.9,-15.2,1.0,6.0,0.0,-inf
3.6,19,,0.0,3.4,-14.8,1.0,6.0,0.0,-inf
3.6,20,,0.987,-10.3,-9.7,2.0,4.0,1.974,0.295
3.6,21,,0.453,-11.2,-6.4,1.0,6.0,0.906,-0.043
3.6,22,,0.0,17.9,-5.2,0.0,12.0,0.0,-inf
3.6,23,,0.44,-11.2,-13.6,1.0,6.0,0.88,-0.056
3.6,24,,0.0,19.0,18.4,0.0,12.0,0.0,-inf
3.6,25,,0.014,-18.7,-9.4,0.0,12.0,0.028,-1.553
3.7,16,,0.0,-14.1,2.4,0.0,12.0,0.0,-inf
3.7,17,,0.073,3.1,9.0,0.0,12.0,0.146,-0.836
3.7,18,,0.0,6.9,-15.2,1.0,6.0,0.0,-inf
3.7,19,,0.0,3.4,-14.8,1.0,6.0,0.0,-inf
3.7,20,,0.985,-10.3,-9.6,2.0,4.0,1.97,0.294
3.7,21,,0.447,-11.3,-6.4,1.0,6.0,0.894,-0.049
