,Proximity Threshold,Time to Target,Time on Target,Average Time on Target,Adjusted Time on Target,heterogeneity,Seekers,Explorers,Isocontours
0,0.1,,,,,0.28,5,7,13
0,0.1,0.005,3.799999999999997,1.424999999999999,2.849999999999998,0.32,4,8,13
0,0.1,0.0,4.666666666666661,2.3333333333333304,4.666666666666661,0.36,3,9,13
0,0.1,0.108,0.1333333333333333,0.1,0.2,0.4,2,10,13
0,0.1,0.058,2.266666666666668,3.4000000000000017,6.800000000000003,0.44,1,11,13
0,0.1,0.017,4.933333333333327,0.6727272727272718,1.3454545454545437,0.0,11,0,14
0,0.1,0.029,13.40000000000001,2.0100000000000016,4.020000000000003,0.04,10,1,14
0,0.1,0.0,4.199999999999996,0.6999999999999993,1.3999999999999986,0.08,9,2,14
0,0.1,0.033,5.199999999999992,0.9749999999999984,1.949999999999997,0.12,8,3,14
0,0.1,,,,,0.16,7,4,14
0,0.1,0.001,5.666666666666657,1.4166666666666643,2.8333333333333286,0.2,6,5,14
0,0.1,0.001,4.599999999999994,1.3799999999999983,2.7599999999999967,0.24,5,6,14
0,0.1,0.034,4.999999999999993,1.8749999999999971,3.7499999999999942,0.28,4,7,14
0,0.1,0.045,6.199999999999989,3.0999999999999943,6.199999999999989,0.32,3,8,14
0,0.1,0.383,4.199999999999996,3.149999999999997,6.299999999999994,0.36,2,9,14
0,0.1,0.089,3.0,4.5,9.0,0.4,1,10,14
0,0.1,0.0,10.733333333333306,1.609999999999996,3.219999999999992,0.0,10,0,15
0,0.1,0.008,20.40000000000011,3.400000000000018,6.800000000000036,0.04,9,1,15
0,0.1,0.0,4.333333333333329,0.8124999999999991,1.6249999999999982,0.08,8,2,15
0,0.1,0.015,3.0666666666666664,0.6571428571428571,1.3142857142857145,0.12,7,3,15
0,0.1,0.023,5.8666666666666565,1.466666666666664,2.933333333333328,0.16,6,4,15
0,0.1,0.015,16.26666666666672,4.880000000000015,9.76000000000003,0.2,5,5,15
