Time,ID,behv,N,comm_area,Area Coverage
133.0,4,explorer,2.0,2000.0,666.667
133.0,5,explorer,0.0,2000.0,2000.0
133.0,Target,,,,
133.1,1,seeker,2.0,2000.0,666.667
133.1,2,seeker,2.0,2000.0,666.667
133.1,3,explorer,0.0,2000.0,2000.0
133.1,4,explorer,2.0,2000.0,666.667
133.1,5,explorer,0.0,2000.0,2000.0
133.1,Target,,,,
133.2,1,seeker,2.0,2000.0,666.667
133.2,2,seeker,2.0,2000.0,666.667
133.2,3,explorer,0.0,2000.0,2000.0
133.2,4,explorer,2.0,2000.0,666.667
133.2,5,explorer,0.0,2000.0,2000.0
133.2,Target,,,,
133.3,1,seeker,2.0,2000.0,666.667
133.3,2,seeker,2.0,2000.0,666.667
133.3,3,explorer,0.0,2000.0,2000.0
133.3,4,explorer,2.0,2000.0,666.667
133.3,5,explorer,0.0,2000.0,2000.0
133.3,Target,,,,
133.4,1,seeker,2.0,2000.0,666.667
133.4,2,seeker,2.0,2000.0,666.667
133.4,3,explorer,0.0,2000.0,2000.0
133.4,4,explorer,2.0,2000.0,666.667
133.4,5,explorer,0.0,2000.0,2000.0
133.4,Target,,,,
133.5,1,seeker,2.0,2000.0,666.667
133.5,2,seeker,2.0,2000.0,666.667
133.5,3,explorer,0.0,2000.0,2000.0
133.5,4,explorer,2.0,2000.0,666.667
133.5,5,explorer,0.0,2000.0,2000.0
133.5,Target,,,,
133.6,1,seeker,2.0,2000.0,666.667
133.6,2,seeker,2.0,2000.0,666.667
133.6,3,explorer,0.0,2000.0,2000.0
133.6,4,explorer,2.0,2000.0,666.667
133.6,5,explorer,0.0,2000.0,2000.0
133.6,Target,,,,
133.7,1,seeker,2.0,2000.0,666.667
133.7,2,seeker,2.0,2000.0,666.667
133.7,3,explorer,0.0,2000.0,2000.0
133.7,4,explorer,2.0,2000.0,666.667
133.7,5,explorer,0.0,2000.0,2000.0
133.7,Target,,,,
133.8,1,seeker,2.0,2000.0,666.667
133.8,2,seeker,2.0,2000.0,666.667
133.8,3,explorer,0.0,2000.0,2000.0
133.8,4,explorer,2.0,2000.0,666.667
133.8,5,explorer,0.0,2000.0,2000.0
133.8,Target,,,,
133.9,1,seeker,2.0,2000.0,666.667
133.9,2,seeker,2.0,2000.0,666.667
133.9,3,explorer,0.0,2000.0,2000.0
133.9,4,explorer,2.0,2000.0,666.667
133.9,5,explorer,0.0,2000.0,2000.0
133.9,Target,,,,
134.0,1,seeker,2.0,2000.0,666.667
134.0,2,seeker,2.0,2000.0,666.667
134.0,3,explorer,0.0,2000.0,2000.0
134.0,4,explorer,2.0,2000.0,666.667
134.0,5,explorer,0.0,2000.0,2000.0
134.0,Target,,,,
134.1,1,seeker,2.0,2000.0,666.667
134.1,2,seeker,2.0,2000.0,666.667
134.1,3,explorer,0.0,2000.0,2000.0
134.1,4,explorer,2.0,2000.0,666.667
134.1,5,explorer,0.0,2000.0,2000.0
134.1,Target,,,,
134.2,1,seeker,2.0,2000.0,666.667
134.2,2,seeker,2.0,2000.0,666.667
134.2,3,explorer,0.0,2000.0,2000.0
134.2,4,explorer,2.0,2000.0,666.667
134.2,5,explorer,0.0,2000.0,2000.0
134.2,Target,,,,
134.3,1,seeker,2.0,2000.0,666.667
134.3,2,seeker,2.0,2000.0,666.667
134.3,3,explorer,0.0,2000.0,2000.0
134.3,4,explorer,2.0,2000.0,666.667
134.3,5,explorer,0.0,2000.0,2000.0
134.3,Target,,,,
134.4,1,seeker,2.0,2000.0,666.667
134.4,2,seeker,2.0,2000.0,666.667
134.4,3,explorer,0.0,2000.0,2000.0
134.4,4,explorer,2.0,2000.0,666.667
134.4,5,explorer,0.0,2000.0,2000.0
134.4,Target,,,,
134.5,1,seeker,2.0,2000.0,666.667
134.5,2,seeker,2.0,2000.0,666.667
134.5,3,explorer,0.0,2000.0,2000.0
134.5,4,explorer,2.0,2000.0,666.667
134.5,5,explorer,0.0,2000.0,2000.0
134.5,Target,,,,
134.6,1,seeker,2.0,2000.0,666.667
134.6,2,seeker,2.0,2000.0,666.667
134.6,3,explorer,0.0,2000.0,2000.0
134.6,4,explorer,2.0,2000.0,666.667
134.6,5,explorer,0.0,2000.0,2000.0
134.6,Target,,,,
134.7,1,seeker,2.0,2000.0,666.667
