Time,ID,x,y,u,v,x_target,y_target,error_x,error_y,Distance to Target,Time/Total Time,Non-Dimensional Target Proximity,error_x_norm,error_y_norm,Heading-Bearing Correlation
0.38,2,-18.3,-4.5,0.2,0.2,-4.07,-17.92,14.23,-13.42,19.56,0.004,0.489,0.728,-0.686,0.029681978798586542
0.38,3,-0.5,-8.4,-0.2,0.3,-4.07,-17.92,-3.57,-9.52,10.167,0.004,0.254,-0.351,-0.936,-0.5833795013850416
0.38,4,19.5,-0.3,-0.4,0.1,-4.07,-17.92,-23.57,-17.62,29.428,0.004,0.736,-0.801,-0.599,0.6322815533980584
0.39,1,-3.0,-1.6,0.4,-0.6,-4.08,-17.92,-1.08,-16.32,16.356,0.004,0.409,-0.066,-0.998,0.7938973647711512
0.39,2,-18.3,-4.5,0.3,0.2,-4.08,-17.92,14.22,-13.42,19.553,0.004,0.489,0.727,-0.686,0.22409972299168968
0.39,3,-0.5,-8.4,-0.2,0.3,-4.08,-17.92,-3.58,-9.52,10.171,0.004,0.254,-0.352,-0.936,-0.5828254847645429
0.39,4,19.5,-0.3,-0.4,0.1,-4.08,-17.92,-23.58,-17.62,29.436,0.004,0.736,-0.801,-0.599,0.6322815533980584
0.4,1,-3.0,-1.6,-0.3,0.4,-4.09,-17.93,-1.09,-16.33,16.366,0.004,0.409,-0.067,-0.998,-0.7582
0.4,2,-18.3,-4.5,0.3,0.4,-4.09,-17.93,14.21,-13.43,19.552,0.004,0.489,0.727,-0.687,-0.11340000000000011
0.4,3,-0.6,-8.3,-0.3,0.4,-4.09,-17.93,-3.49,-9.63,10.243,0.004,0.256,-0.341,-0.94,-0.5474
0.4,4,19.5,-0.3,-0.4,0.1,-4.09,-17.93,-23.59,-17.63,29.45,0.004,0.736,-0.801,-0.599,0.6322815533980584
0.41,1,-3.0,-1.6,0.0,-0.1,-4.1,-17.93,-1.1,-16.33,16.367,0.004,0.409,-0.067,-0.998,0.998
0.41,2,-18.3,-4.5,0.4,0.3,-4.1,-17.93,14.2,-13.43,19.545,0.004,0.489,0.727,-0.687,0.1694
0.41,3,-0.6,-8.3,-0.3,0.4,-4.1,-17.93,-3.5,-9.63,10.246,0.004,0.256,-0.342,-0.94,-0.5468
0.41,4,19.5,-0.3,-0.5,0.2,-4.1,-17.93,-23.6,-17.63,29.458,0.004,0.736,-0.801,-0.598,0.5211502782931354
0.42,1,-3.0,-1.6,0.0,-0.3,-4.09,-17.92,-1.09,-16.32,16.356,0.004,0.409,-0.067,-0.998,0.998
0.42,2,-18.3,-4.5,0.3,0.4,-4.09,-17.92,14.21,-13.42,19.545,0.004,0.489,0.727,-0.687,-0.11340000000000011
