Time,ID,Ne,Area Coverage
2.8,8,4.0,62.832
2.8,9,6.0,44.88
2.8,10,2.0,104.72
2.8,11,3.0,78.54
2.8,12,2.0,104.72
2.8,13,7.0,39.27
2.8,14,5.0,52.36
2.8,15,5.0,52.36
2.8,16,0.0,314.159
2.8,17,1.0,157.08
2.8,18,2.0,104.72
2.8,19,1.0,157.08
2.8,20,1.0,157.08
2.8,21,5.0,52.36
2.8,22,3.0,78.54
2.8,23,3.0,78.54
2.8,24,4.0,62.832
2.9,5,0.0,314.159
2.9,6,1.0,157.08
2.9,7,5.0,52.36
2.9,8,4.0,62.832
2.9,9,6.0,44.88
2.9,10,2.0,104.72
2.9,11,3.0,78.54
2.9,12,2.0,104.72
2.9,13,7.0,39.27
2.9,14,5.0,52.36
2.9,15,5.0,52.36
2.9,16,0.0,314.159
2.9,17,1.0,157.08
2.9,18,2.0,104.72
2.9,19,1.0,157.08
2.9,20,1.0,157.08
2.9,21,5.0,52.36
2.9,22,3.0,78.54
2.9,23,3.0,78.54
2.9,24,4.0,62.832
3.0,5,0.0,314.159
3.0,6,1.0,157.08
3.0,7,5.0,52.36
3.0,8,4.0,62.832
3.0,9,6.0,44.88
3.0,10,2.0,104.72
3.0,11,3.0,78.54
3.0,12,2.0,104.72
3.0,13,7.0,39.27
3.0,14,5.0,52.36
3.0,15,5.0,52.36
3.0,16,0.0,314.159
3.0,17,2.0,104.72
3.0,18,2.0,104.72
3.0,19,1.0,157.08
3.0,20,1.0,157.08
3.0,21,6.0,44.88
3.0,22,3.0,78.54
3.0,23,3.0,78.54
3.0,24,4.0,62.832
3.1,5,0.0,314.159
3.1,6,1.0,157.08
3.1,7,5.0,52.36
3.1,8,4.0,62.832
3.1,9,4.0,62.832
3.1,10,2.0,104.72
3.1,11,3.0,78.54
3.1,12,2.0,104.72
3.1,13,6.0,44.88
3.1,14,5.0,52.36
3.1,15,5.0,52.36
3.1,16,0.0,314.159
3.1,17,1.0,157.08
3.1,18,2.0,104.72
3.1,19,1.0,157.08
3.1,20,1.0,157.08
3.1,21,5.0,52.36
3.1,22,3.0,78.54
3.1,23,2.0,104.72
3.1,24,4.0,62.832
3.2,5,0.0,314.159
3.2,6,1.0,157.08
3.2,7,5.0,52.36
3.2,8,4.0,62.832
3.2,9,4.0,62.832
3.2,10,2.0,104.72
3.2,11,2.0,104.72
3.2,12,2.0,104.72
3.2,13,5.0,52.36
3.2,14,5.0,52.36
3.2,15,5.0,52.36
3.2,16,0.0,314.159
3.2,17,1.0,157.08
3.2,18,2.0,104.72
